"","J_YN2","","",""
"t1PV","yes","157.7","5400","3600"
"","no","157.9","371.9","214"
"","no","157.9","369.4","211.5"
"","no","157.9","369.4","211.5"
"","no","157.9","369.4","211.5"
"","no","158","329.5","171.5"
"","no","158","328.8","170.8"
